identifier,title,date,creator,venue,url
0120_freakons2013-09-22,Freakons Live at The Hideout 2013-09-22,9/22/13,Freakons,The Hideout 2013-09-22,https://archive.org/details/0120_freakons2013-09-22
0122_bas2013-07-20,Belle & Sebastian Live at Pitchfork Music Festival on 2013-07-20,7/20/13,Belle & Sebastian,Pitchfork Music Festival,https://archive.org/details/0122_bas2013-07-20
0123_bjork2013-07-19,Björk Live at Pitchfork Music Festival 2013-07-19,7/19/13,Björk,Pitchfork Music Festival 2013-07-19,https://archive.org/details/0123_bjork2013-07-19
0124_breeders2013-07-20,Breeders Live at Pitchfork Festival 2013-07-20,7/20/13,Breeders,Pitchfork Festival 2013-07-20,https://archive.org/details/0124_breeders2013-07-20
0125_eternals2013-07-13,The Eternals Live at Constellation 2013-07-13,7/13/13,The Eternals,Constellation 2013-07-13,https://archive.org/details/0125_eternals2013-07-13
0126_girlgroupchi2013-07-13,Girl Group Chicago Live at West Fest 2013-07-13,7/13/13,Girl Group Chicago,West Fest 2013-07-13,https://archive.org/details/0126_girlgroupchi2013-07-13
0128_wjraynovich2013-07-14,William Jason Raynovich Live at Constellation 2013-07-14,7/14/13,William Jason Raynovich,Constellation 2013-07-14,https://archive.org/details/0128_wjraynovich2013-07-14
0129_muccapazza2013-05-27,Mucca Pazza Live at Tour de Fat at Palmer Square 2013-05-27,7/13/13,Mucca Pazza,Tour de Fat at Palmer Square 2013-05-27,https://archive.org/details/0129_muccapazza2013-05-27
0130_reggiewatts2013-07-13,Reggie Watts Live at Constellation on 2013-07-13,7/13/13,Reggie Watts,Constellation,https://archive.org/details/0130_reggiewatts2013-07-13
0131_reggiewatts2013-07-13,Reggie Watts Live at Saki on 2013-07-13,7/13/13,Reggie Watts,Saki,https://archive.org/details/0131_reggiewatts2013-07-13
0132_reggiewatts2013-07-13,Reggie Watts Live at Tour de Fat at Palmer Square on 2013-07-13,7/13/13,Reggie Watts,Tour de Fat at Palmer Square,https://archive.org/details/0132_reggiewatts2013-07-13
0133_timmsbean2013-07-182013-07-18,Sally Timms and Janet Bean Live at The Hideout on 2013-07-18,7/18/13,Sally Timms,The Hideout,https://archive.org/details/0133_timmsbean2013-07-182013-07-18
0134_wire2013-07-19,Wire Live at Pitchfork Festival - Union Park 2013-07-19,7/19/13,Wire,Pitchfork Festival - Union Park 2013-07-19,https://archive.org/details/0134_wire2013-07-19
0135_butchershop-quartet-2013-05-26,The Butchershop Quartet Live at Township 2013-05-26,5/26/13,The Butchershop Quartet,Township 2013-05-26,https://archive.org/details/0135_butchershop-quartet-2013-05-26
0136_crucifagium2013-05-26,Crucifagium Live at Township 2013-05-26,5/26/13,Crucifagium,Township 2013-05-26,https://archive.org/details/0136_crucifagium2013-05-26
0137_matt-clark-2013-05-26,Matt Clark Live at Township 2013-05-26,5/26/13,Matt Clark,Township 2013-05-26,https://archive.org/details/0137_matt-clark-2013-05-26
0138_chandeliers_2013-05-14,Chandeliers Live at The Hideout 2013-05-14,5/14/13,Chandeliers,The Hideout 2013-05-14,https://archive.org/details/0138_chandeliers_2013-05-14
0139_chandeliers_2013-05-21,Chandeliers Live at The Hideout 2013-05-21,5/21/13,Chandeliers,The Hideout 2013-05-21,https://archive.org/details/0139_chandeliers_2013-05-21
0140_cheer-accident_2013-06-22,Cheer-Accident Live at Mayne Stage 2013-06-22,6/22/13,Cheer-Accident,Mayne Stage 2013-06-22,https://archive.org/details/0140_cheer-accident_2013-06-22
0141_fotg_2013-07-11,Friends of the Gamelan Live at Jay Pritzker Pavilion - Millennium Park 2013-07-11,7/11/13,Friends of the Gamelan,Jay Pritzker Pavilion - Millennium Park 2013-07-11,https://archive.org/details/0141_fotg_2013-07-11
0142_dd_2013-07-11,Dan Deacon Live at Jay Pritzker Pavilion Millennium Park 2013-07-11,7/11/13,Dan Deacon,Jay Pritzker Pavilion Millennium Park 2013-07-11,https://archive.org/details/0142_dd_2013-07-11
0143_lee-ranaldo-2013-05-27,Lee Ranaldo & The Dust Live at Pritzker Pavilion - Millennium Park 2013-05-27,5/27/13,Lee Ranaldo & The Dust,Pritzker Pavilion - Millennium Park 2013-05-27,https://archive.org/details/0143_lee-ranaldo-2013-05-27
0144_mribotceramicdog2013-05-27,Marc Ribot's Ceramic Dog Live at Millennium Park - Chicago 2013-05-27,5/27/13,Marc Ribot's Ceramic Dog,Millennium Park - Chicago 2013-05-27,https://archive.org/details/0144_mribotceramicdog2013-05-27
